Product_name,Pricing,Ratings
Realme C3 (Frozen Blue| 32 GB),Rs.7499,4.4
Realme C3 (Blazing Red| 32 GB),Rs.7499,4.4
Realme 5i (Forest Green| 64 GB),Rs.9999,4.4
Realme 5i (Aqua Blue| 64 GB),Rs.9999,4.4
Realme 5i (Aqua Blue| 128 GB),Rs.10999,4.4
Realme C2 (Diamond Blue| 32 GB),Rs.6499,4.4
Realme C2 (Diamond Black| 32 GB),Rs.7499,4.3
Realme C2 (Diamond Black| 32 GB),Rs.6499,4.4
Realme C2 (Diamond Sapphire| 32 GB),Rs.7499,4.3
Realme C2 (Diamond Ruby| 32 GB),Rs.7499,4.3
Realme C3 (Frozen Blue| 64 GB),Rs.8499,4.4
Realme 5s (Crystal Blue| 64 GB),Rs.10999,4.4
Realme 5s (Crystal Purple| 64 GB),Rs.11999,4.4
Realme 5s (Crystal Blue| 128 GB),Rs.11999,4.4
Realme C3 (Blazing Red| 64 GB),Rs.8499,4.4
Realme 5s (Crystal Red| 64 GB),Rs.11999,4.4
Realme 5s (Crystal Purple| 128 GB),Rs.11999,4.4
Realme C2 (Diamond Blue| 32 GB),Rs.7499,4.3
Realme 5 (Crystal Purple| 128 GB),Rs.11999,4.4
Realme 5 (Crystal Purple| 32 GB),Rs.9999,4.5
Realme 5 (Crystal Blue| 64 GB),Rs.10999,4.4
Realme XT (Pearl Blue| 64 GB),Rs.17999,4.5
Realme 5 (Crystal Blue| 128 GB),Rs.11999,4.4
Realme 5 (Crystal Blue| 32 GB),Rs.9999,4.5
